date,RECESSION,CPI,FEDFUNDS,INDPRO,PAYEMS,SP500,UNEMPLOY,YC
1/1/1959,n,0,-0.05,0.019395221,0.003993691,-0.000721649,-0.103,1.62
2/1/1959,n,0,-0.05,0.019395221,0.003993691,-0.000721649,-0.103,1.67
3/1/1959,n,0,-0.05,0.019395221,0.003993691,-0.000721649,-0.103,1.3
4/1/1959,n,0,0.37,0.014302405,0.006168304,0.000541254,-0.164,1.14
5/1/1959,n,-0.000344768,0.16,0.021079317,0.00577422,0.038047605,-0.23,1.2
6/1/1959,n,-0.001035018,-0.06,0.014951128,0.004285547,0.018750012,-0.092,0.71
7/1/1959,n,0.000345125,0.49,0.001141198,0.002443325,-0.003585134,-0.05,0.63
8/1/1959,n,0.002068253,0.08,-0.024238762,0.002288692,0.034294788,0.099,0.6
9/1/1959,n,0.002407568,0.03,-0.03446612,-0.008736289,-0.015153067,0.06,0.34
10/1/1959,n,0.001373155,0.26,-0.001205867,0.001723428,-0.046711737,0.187,0.12
11/1/1959,n,0.00102863,0.22,-0.007292321,-0.001311033,0.01118891,0.135,0.1
12/1/1959,n,0.002396031,0.02,0.006080621,0.005159276,0.013126251,0.093,0.11
1/1/1960,n,0.003412973,-0.01,0.059981251,0.010017893,0.027250565,-0.35,0.11
2/1/1960,n,0,0,0.025915554,0.001844202,-0.07414647,-0.038,0.13
3/1/1960,n,0.002042206,-0.02,-0.008936898,0.004393914,0.009129178,-0.286,0.26
4/1/1960,n,-0.001361007,-0.13,-0.009017487,-0.001082897,-0.013996263,0.397,0.18
5/1/1960,y,0.001361007,0.08,-0.007961168,0.006571084,-0.017683462,-0.106,0.25
6/1/1960,y,0,-0.07,-0.001142501,-0.006185511,0.026498882,-0.051,0.78
7/1/1960,y,0.004410525,-0.53,-0.012650248,-0.002334066,0.019335343,0.197,0.87
8/1/1960,y,0.001015057,-0.09,-0.003479167,-0.000773096,-0.025083589,0.07,1.12
9/1/1960,y,0.001351808,-0.25,-0.001162418,-0.000626278,0.025786101,0.11,1.5
10/1/1960,y,-0.002028398,-0.38,-0.010518771,-0.000829501,-0.062293834,-0.062,1.63
11/1/1960,y,0.002028398,-0.13,-0.001176084,-0.001568715,-0.002431972,0.368,1.66
12/1/1960,y,0,-0.03,-0.014217651,-0.003348661,0.039480056,0.078,2.12
1/1/1961,y,0.00471699,-0.46,-0.019278345,-0.004066745,0.045234283,0.287,2.65
2/1/1961,y,0.001007895,-0.53,0.001216121,-0.001098441,0.061241888,0.054,1.56
3/1/1961,n,0.00100688,1.09,-0.001216121,-0.002349871,0.02651489,0.161,2.08
4/1/1961,n,0.001005868,-0.52,0.006065867,0.001902702,0.025215329,0.021,2.61
5/1/1961,n,0,-0.53,0.020344432,-0.000596536,0.003835243,0.04,2.12
6/1/1961,n,0,0.49,0.015285169,0.002960538,0.018958633,0.11,2.37
7/1/1961,n,-0.001005868,-0.25,0.013904659,0.00354482,-0.029270368,-0.118,2.93
8/1/1961,n,0.001005868,-0.56,0.011444751,0.002701204,0.03227073,0.043,2.1
9/1/1961,n,0,0.83,0.009058348,0.00322816,0.019432459,-0.246,2.22
10/1/1961,n,0.002677378,-0.12,-0.001128326,0.001656147,-0.019881916,-0.006,1.84
11/1/1961,n,0.000668226,0.38,0.019006515,0.002460749,0.027929409,-0.103,1.49
12/1/1961,n,0.001335114,0.35,0.015384949,0.004026949,0.038592712,-0.278,1.77
1/1/1962,n,0,-0.28,0.008684609,0.002371961,0.003219755,-0.118,1.95
2/1/1962,n,0,-0.18,-0.008684609,0.0003462,-0.038611635,-0.096,1.63
3/1/1962,n,0.001000167,0.22,0.016225651,0.005396138,0.016138723,-0.21,1.01
4/1/1962,n,0.000999167,0.48,0.005351853,0.001575188,-0.005877674,0.05,1.08
5/1/1962,n,0.002327516,-0.07,0.002128901,0.005898445,-0.063973214,-0.015,1.54
6/1/1962,n,0.001990711,-0.42,-0.001065809,0.0004675,-0.089913927,-0.043,1.32
7/1/1962,n,0.001324942,0.32,-0.002131174,0.000287584,-0.085381451,-0.019,1.33
8/1/1962,n,0.000992556,0.03,0.009568092,0.001831404,0.061623317,-0.025,1.03
9/1/1962,n,-0.000992556,0.22,0.001057916,0.001648982,0.015168574,0.194,1.04
10/1/1962,n,0.000330961,-0.03,0.006320309,0.002504115,-0.049407726,-0.052,1.02
11/1/1962,n,0.001983472,0,0.001050143,0.001124809,0.004433024,-0.158,0.98
12/1/1962,n,0.004612858,0.04,0.004189581,0.000267625,0.096724575,0.221,0.92
1/1/1963,n,-0.00131579,-0.01,0,-0.000499625,0.013401605,-0.117,0.95
2/1/1963,n,0,-0.01,0.007286048,0.001551591,0.04795968,0.167,0.94
3/1/1963,n,0,0.08,0.011349135,0.002047266,-0.029276304,0.164,0.97
4/1/1963,n,0.001973036,-0.02,0.006132893,0.00159929,0.034849912,-0.166,1.05
5/1/1963,n,0.001313198,-0.08,0.009134859,0.004605854,0.047380027,-0.017,0.96
6/1/1963,n,0.000983768,0.1,0.012047836,0.000636065,0.01422499,0.162,1.01
7/1/1963,n,-0.000983768,-0.01,0.002990313,0.000759214,-0.020404502,-0.24,0.98
